"Subject","Chapter","Question No","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Image Reference"
"General Surgery","1. Diseases of Salivary & Thyroid Glands","11","FNAC (Fine Needle Aspiration Cytology) can diagnose all the following except","Papillary carcinoma of thyroid","Follicular carcinoma of thyroid","Anaplastic carcinoma of thyroid","Medullary carcinoma of thyroid","B","'B' [B & L 23rd ed 716 / 24th ed 785]
FNAC helps in diagnosis of papillary carcinoma, medullary carcinoma, anaplastic carcinoma, colloid nodules and thyoiditis. It cannot distinguish between a benign follicular adenoma and follicular carcinoma as this distinction depends on histological criteria, which include capsular and vascular invasion.",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","12","Thyroglossal cyst is most often located:","Near hyoid bone","At the base of tongue","Sub mandibular","Opposite cricoid cartilage","A","'A' [DAS 2nd ed 140]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","13","Retrosternal goiter:","Causes stridor","Obtains its blood supply from thoracic vessels.","Characteristically malignant","Must be removed by thoracotomy","A","'A' [B & L 23rd ed 713 / 24th ed 783]
Retro sternal goitre causes dyspnoea, cough, stridor, deviation and compression of trachea. In severe cases it causes engorgement of neck veins and superficial veins on the chest wall and obstruction of the superior vena cava.",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","14","Hashimoto's disease is:","Agranulomatous thyroiditis","An autoimmune thyroiditis","Fibrous thyroiditis","A viral infection of the thyroid gland","B","'B' [B & L 23rd ed 712 / 24th ed 781]
'Primary Myxoedema' is non-goitrous form of autoimmune thyroiditis while 'Hashimoto's' disease is considered as goitrous form of autoimmune thyroiditis.",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","15","A patient with increased metabolic rate, hyperthyroidism, goiter and have deposits of calcium in capsule of thyroid, it can be due to:","Follicular Carcinoma of thyroid","Medullary carcinoma of thyroid","De Quervain's thyroiditis","Riedel's thyroiditis","B","'B' [B & L 23rd ed 731 / 24th ed 802]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","16","Tachycardia, nervousness, intolerance to heat and exophtholmas are seen in:","Hyperthyroidism","Hypothyroidism","Hyperparathyroidism","Hypoparathyroidism","A","'A' [AIPG -01]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","17","Sistrunk's operation is done for:","Thyroglossal cyst","Thyroglossal fistula","Both the above","None of the above","C","'C' [KAR -03, GCET-14]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","18","Follicular carcinoma of thyroid is best treated by","Hemi thyroidectomy","Near total thyroidectomy","Sub total thyroidectomy","Radiotherapy alone","B","'B' [KAR -98]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","19","Which of the following is true for thyrotoxicosis:","In Grave's disease antibodies are formed to TSH receptors which result in excessive thyroxine secretion","Hashimoto's thyroiditis occurs in young males","In primary hypothyroidism, decreased TSH levels are seen","In Grave's disease no antibodies are formed to TSH receptors which result in decreased thyroxine secretion","A","'A' [AIPG -01]
Graves disease is a diffuse toxic goitre occurring usually in the younger woman and frequently associated with eye signs. The hypertrophy and hyperplasia of the gland is due to abnormal thyroid stimulating antibodies.",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","20","The origin of thyroglossal duct is","Foramen caecum","Tuberculum impar","Rathke's pouch","Rosenmiller's fossa","A","'A' [TNPSC -99]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","21","A cold nodule in thyroid scintiscan mean","Nodule which is cold","Hyperactive nodule","Nodule which is nonfunctioning & malignant","Nodule which has no signs of inflammation","C","'C' [COMEDK -03]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","22","The only reason for operating in case of thyroiditis is","To prevent cancerous degeneration","For relief of pain in neck and ear","To overcome pressure on trachea or oesophagus","To cure the toxic reaction","C","'C' [B & L 23rd ed 717 / 24th ed 804]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","23","The carcinoma of thyroid associated with Hypocalcemia is:","Papillary cancer","Medullary cancer","Follicular cancer","Anaplastic","B","'B' [B & L 23rd ed 731 / 24th ed 802]
This is due to overproduction of serum calcitonin in medullary carcinoma of thyroid.",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","24","Toxic adenoma on scanning appear as","Hot nodule","Cold nodule","Warm nodule","Neutral","A","'A' [B & L 23rd ed 715, 719 / 24th ed 779]

| Scan type | Description |
|---|---|
| Hot nodule | Overactive, it takes up isotope while the surrounding gland does not. It actively secretes excess thyroid hormones. |
| Warm | Active, both the swelling and the normal thyroid tissue takes up isotope. |
| Cold | Under active and it does not take up isotope. |",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","25","Thyroid carcinoma","Is often associated with hypothyroidism","Often produces hyperthyroidism","Is usually euthyroid","Occurs in toxic nodules","C","'C' [B & L 23rd ed 716 / 24th ed 785]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","26","All of the following regarding papillary carcinoma thyroid are true except:","Multicentric origin","Secondaries to lymphnodes","Slowly growing","Bony metastasis in early stage","D","'D' [B & L 23rd ed 727, 728 / 24th ed 798]

| Feature | Papillary carcinoma | Follicular carcinoma |
|---|---|---|
| Incidence | Most common | Less common |
| Lymphnode metastasis | Most common | Less common |
| Blood bone metastasis | Less common | Common |
| Mortality rate | Very less | High |",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","27","Commonest thyroid malignancy is:","Medullary carcinoma","Follicular carcinoma","Anaplastic carcinoma","Papillary carcinoma","D","'D' [B & L 23rd ed 726 / 24th ed 798]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","28","Lymphnode metastasis commonest in....... carcinoma thyroid","Follicular","Papillary","Anaplastic","Medullary","B","'B' [B & L 23rd ed 727, 728 / 24th ed 798]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","29","Orphan Annie eyed nuclei is the characteristic histologic appearance is seen in","Papillary carcinoma thyroid","Follicular carcinoma thyroid","Medullary carcinoma thyroid","Hashimoto's thyroiditis","A","'A' [B & L 23rd ed 728 / 24th ed 798]
Histologically the papillary carcinoma of thyroid shows papillary projections and characteristic pale empty nuclei (orphan Annie-eyed Nuclei). They are never encapsulated.",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","30","Therapy of choice for diffuse toxic goiter in a patient over 45 years:","Surgery","Antithyroid drugs","Radio iodine","Antithyroid drugs first followed by surgery","C","'C' [B & L 23rd ed 722 / 24th ed 793]
Radio iodine destroys thyroid cells, and as in thyrotoxicosis reduces the mass of functioning thyroid tissue to a critical level. Option 'A' surgery is recommended for patients below 45 years.",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","31","Thyroglossal fistula develops due to","Developmental anomaly","Injury","Incomplete removal of thyroglossal cyst","Inflammatory disorder","C","'C' [B & L 23rd ed 709 / 24th ed 778]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","32","Most common cause of hypercalcemic crisis is -","Parathyroid adenoma","Parathyroid hyperplasia","Carcinoma breast","Paget's disease","A","'A' [B & L 23rd ed 735 / 24th ed 812]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","33","A patient has hypocalcaemia which was the result of a surgical complication. Which operation could it possibly have been.","Nephrectomy","Thyroidectomy","Gastrectomy","Vocal cord tumour biopsy","B","'B' [B & L 23rd ed 736 / 24th ed 808]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","34","Hyperparathyroidism is characterized by the following except","Generalised osteoporosis","Renal calculi","Hypercalcemia","Osteosclerosis","D","'D' [B & L 23rd ed 736 / 24th ed 808]
The clinical features of hyperparathyroidism can be described as bones, stones, abdominal groans and psychic moans:

| System | Features |
|---|---|
| Bones | • Decalcification • Cysts and pseudotumors (von recklinghausen's disease) • Vague pain in the bones and joints |
| Stones | • Renal stones |
| Abdominal groans | • Nausea • Anorexia • Peptic ulcer |
| Psychic moans | • Tiredness • Personality changes. |",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","35","After thyroidectomy, the patient developed stridor within 2 hrs. All are likely cause of stridor except:","Hypocalcemia","Recurrent laryngeal nerve palsy","Larynogomalacia","Wound hematoma","C","'C' [B & L 23rd ed 735 / 24th ed 812]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","36","A ranula is a","Type of epulis","Sublingual thyroid","Thyroglossal cyst","Cystic swelling in the floor of the mouth","D","'D' [B & L 23rd ed 736 / 24th ed 808]
Ranula is form of mucocele occurring in the floor of the mouth in association with the duct of sublingual salivary gland. Sometimes the intra oral ranula may herniate through the mylohyoid muscle and appears as a swelling in the upper part of neck. This is called as plunging ranula. The treatment of ranula is excision of sublingual salivary gland.",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","37","Mickulicz's disease is","An inflammatory disease","Neoplastic disease","An autoimmune disease","Viral infection","C","'C' [KAR -02, AIPG -94]
Mickulicz's disease is an autoimmune disease. Characterised by chronic, bilateral, symmetric enlargement of the salivary and lacrimal glands.",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","38","A condition of the mouth which increases the caries activity in the oral cavity is","Xerostomia","Fissured tongue","Hairy tongue","Watery saliva","A","'A' [AIIMS -89]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","39","Reduction in flow of saliva is not generally seen in","Elderly diabetics","Patient undergoing radiation therapy","Patients suffering from parkinsonism","Patients on phenothiazine drugs.","A","'A' [AIPG -91]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","40","Adenoid cystic carcinoma is also known as","Cylindroma","Pindborg tumor","Warthins tumor","Pleomorphic adenoma","A","'A' [AP -2K]
Adenoid cystic carcinoma or Cylindroma is an aggressive malignant salivary gland tumor characterised by spread of tumor cells along perineural spaces or perineural sheaths.",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","41","Anatomical structure injured in excision of ranula","Lingual vein","Lingual artery","Submandibular duct","Parotid duct","C","'C' [B & L 23rd ed 662 / 24th ed 722]

| Surgical procedure | Anatomical structure injured |
|---|---|
| Excision of Ranula | • Submandibular duct |
| Excision of submandibular gland | • Lingual nerve (most common) • Hypoglossal nerve (PGI-06) • Marginal mandibular branch of facial nerve |
| Parotidectomy | • Facial nerve |
| Excision of brachial cyst | • Hypoglossal nerve • Accessory nerve |",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","42","Stones are maximum in","Parotid","Submandibular","Pancreas","Sublingual","B","'B' [B & L 23rd ed 655 / 24th ed 723]
Majority of stones occurs in submandibular glands because of the tortuous submandibular duct course and the high viscosity of its secretions.",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","43","All are seen in sjogren's syndrome, except","Positive antinuclear factor","Decreased immunoglobulins","Raised ESR","Positive rheumatoid factor","B","'B' [B & L 23rd ed 661 / 24th ed 737]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","44","Parotid tumour which spreads perineurally is","Mucoepidermoid carcinoma","Epidermoid carcinoma","Carcinoma in pleomorphic adenoma","Adenoid cystic carcinoma","D","'D' [B & L 23rd ed 659 / 24th ed 727]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","45","Treatment of submandibular salivary gland duct calculi is:","Excision of submandibular gland","Opening the duct at the frenulum","Opening the duct and removal of calculus","Excision of gland and duct","C","'C' [B & L 23rd ed 656 / 24th ed 723]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","46","Sjogren's syndrome is associated with","Rheumatoid arthritis","SLE","Scleroderma","All of the above","D","'D' [B & L 23rd ed 667 / 24th ed 734]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","47","The commonest parotid tumour is","Pleomorphic adenoma","Warthins tumour","Adenoid carcinoma","Secondaries","A","'A' [B & L 23rd ed 656 / 24th ed 722]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","48","Adenolymphoma refers to","Warthin's tumour","Pleomorphic adenoma","Adeno carcinoma","Adenocystic carcinoma","A","'A' [B & L 23rd ed 659]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","49","In submandibular gland surgery, the nerve least likely to be injured is","Inferior alveolar nerve","Lingual nerve","Hypoglossal nerve","Mandibular branch of facial nerve","A","'A' [B & L 23rd ed 665 / 24th ed 732]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","50","In a case of parotid swelling the diagnostic procedure of choice:","FNAC","Superficial parotidectomy","Enucleation","Excision biopsy","A","'A' [B & L 23rd ed 596 / 24th ed 720]
Open surgical biopsy of intrinsic neoplasms of the major salivary glands is contraindicated as it causes spillage of tumour cells. FNAC is a safe alternative to open biopsy.",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","51","What is Ranula:","Retention cyst of sublingual gland","Retention cyst of submandibular gland","Extravasation cyst of sublingual glands","Extravasation cyst of submandibular glands","A","'A' [B & L 23rd ed 596 / 24th ed 720]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","52","The parotid duct is known as -","Wharton's duct","Stenson's duct","Duct of santorini","Duct of wirsung","B","'B' [B & L 23rd ed 656 / 24th ed 727]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","53","Nerve, which lies in association to Wharton's duct, is -","Hypoglossal","Lingual","Facial","Spinal accessory","B","'B' [B & L 23rd ed 656 / 24th ed 722]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","54","During parotid surgery injury to the nerve, which results in Frey's syndrome, is -","Auriculotemporal Nerve","Great auricular Nerve","Mandibular Nerve","Buccal Nerve","A","'A' [B & L 23rd ed 667 / 24th ed 734]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","55","The nerve sacrificed in parotid surgery","Auriculotemporal","Facial","Buccal","Cervico facial","B","'B' [B & L 23rd ed 667 / 24th ed 732]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","56","In a 3-year old child which of the following the most common cyst located in midline of neck:","Thyroglossal cyst","Bronchial cyst","Lymphangiocelec","Cystic hygroma","A","'A' [PGI-06]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","57","Chronic lymphocytic thyroiditis refers to:","Tuberculous thyroiditis","Hashimoto's thyroiditis","Dequervain's thyroiditis","Riedel's thyroiditis","B","'B' [B & L 23rd ed 712]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","58","In Hashimoto's disease, serum antibodies are mainly against:","Thyroid follicles","Thyronine","Thyroglobulin","Iodine","C","'C' [Robbins 6th ed 1134]
In Hashimoto's thyroiditis, serum antibodies directed against:
• Thyroglobulin
• Thyroid peroxidase
• TSH receptor
• Iodine transporter",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","59","Thyroglossal cyst may occasional give rise to... carcinoma:","Papillary","Medullary","Anaplastic","Follicular","A","'A' [B & L 23rd ed 709 / 24th ed 778]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","60","The following statements about thyroglossal cyst are true, except:","Frequent cause of anterior midline neck masses in the first decade of life","The cyst is located within 2 cm of the midline","Incision and drainage is the treatment of choice","The swelling moves upwards on protrusion of tongue","C","'C' [AIPG-06]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","61","Prophylactic thyroidectomy indicated in","Papillary carcinoma thyroid","Follicular carcinoma thyroid","Medullary carcinoma","Malignant lymphoma","C","'C' [Manipal Manual of Surgery 3rd ed 305]
Medullary carcinoma of thyroid has familial tendency to propagate. Sometimes prophylactic thyroidectomy is done in relatives, if calcitonin levels are observed high in them.",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","62","A patient has wide eyes, nervousness, raised systolic BP and weight loss. Most probable diagnosis is:","Hypothyroidism","Hyperthyroidism","Hyperparathyroidism","Hypoparathyroidism","B","'B' [B & L 24th ed 790]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","63","Thyroglossal fistula is:","Congenital","Acquired","Hereditary","Discharges blood","B","'B' [COMEDK-07]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","64","The most common cause of hypoparathyroidism after thyroidectomy is:","Removal","Vascular injury","Hypertrophy","Malignancy","A","'A' [COMEDK-07]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","65","The commonest cause of hypocalcemia in a patient with known cancer is:","Ectopic parthormone production","Direct destruction of the bone by tumor cells","High levels of Vit. D","Production of parathormone like substance (P.ThiP)","D","'D' [B & L 23rd ed 736 / 24th ed 808]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","66","A patient presents with swelling in the neck following a thyroidectomy. What is the most likely resulting complications?","Resp. obstruction","Recurrent laryngeal nerve palsy","Hypovolemia","Hypocalcemia","A","'A' [PGI-06]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","67","In retrosternal goiter, most common presenting feature is:","Dysphagia","Stridor","Dyspnoea","Superior venacaval syndrome","B","'B' [B & L 23rd ed 693 / 24th ed 762]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","68","Screening method for medullary carcinoma thyroid is:","Serum calcitonin","Serum Calcium","Serum alkaline phosphatase","Serum Acid phosphatase","A","'A' [KCET-2012]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","69","Carcinoma thyroid with blood borne metastasis is:","Follicular","Papillary","Mixed","Anaplastic","A","'A' [B & L 23rd ed 727 / 24th ed 798]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","70","Lateral aberrant thyroid refers to:","Congenital thyroid abnormality","Metastatic foci from primary in thyroid","Struma ovarii","Lingual thyroid","B","'B' [B & L 24th ed 779]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","71","A patient has pituitary tumor and pheochromocytoma and a thyroid nodule. Which carcinoma is most likely to occur:","Follicular","Medullary","Papillary","Anaplastic","B","'B' [B & L 24th ed 798]
The patient is suffering from MEN syndrome, characterised by familial occurrence of multiple endocrine neoplasms.

| MEN I (WERNER'S SYNDROME) | MEN II |
|---|---|
| Characterised by tumors of: • Parathyroid • Pituitary • Pancreatic islet cells – Zollinger Ellison syndrome (Gastrin) – Insulinoma (Insulin) – Glucagonoma (Glucagon) – Verner Morrison (or) – watery diarrhea syndrome (Pancreatic cholera) | Characterised by: – Medullary carcinoma – Pheochromocytoma IIA – When associated with Hyperthyroidism IIB – when associated with – Mucosal neuromas – Marfanoid habitus |",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","72","Not a feature of de Quervain's disease:","Autoimmune in etiology","Increased ESR","Tends to regress spontaneously","Painful and associated with enlargement of thyroid.","A","'A' [B & L 23rd ed 712]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","73","Treatment of thyroid storm includes all, except:","Proponolol","Radioactive Iodine","Hydrocortisone","Lugols iodine","B","'B' [KCET-08]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","74","In case of hypothyroidism, which investigation is most informative and most commonly used?","Serum TSH level","Serum T3, T4 level","Serum calcitonin assay","Serum TRH assay","A","'A' [B & L 23rd ed 714 / 24th ed 783]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","75","Patient after thyroid surgery presents with perioral paresthesia, secrum Ca-level is 7mg/dl. What will be the best management?","Oral Vit D2","Oral Vit D3 and Ca","IV calcium gluconate","Oral calcium","D","'D' [B & L 23rd ed 736 / 24th ed 808]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","76","Therapy of choice for diffuse toxic goiter in a patient over 45 years is:","Surgery","Antithyroid drugs","Radioiodine","Antithyroid drugs first, followed by surgery","C","'C' [B & L 23rd ed 722 / 24th ed 793]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","77","What % of cold thyroid nodules are malignant?","70-80%","50-60%","40-50%","10-20%","D","'D' [B & L 24th ed 779]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","78","Absolute indication for surgery in hyperparathyroidism is","Serum calcium < 2.85m mol/lt","Increased bone density","Urinary tract calculi","Patient more than 50 years of age","C","'C' [KCET-08]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","79","The commonest thyroid malignancy is","Anaplastic","Follicular","Papillary","Medullary","C","'C' [KCET-08]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","80","Treatment of choice for Mixed Parotid Tumor is:","Enucleation","Superficial parotidectomy","Radical parotidectomy","Radiation","B","'B' [COMEDK-08]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","81","Which of the following conditions is the most common complication of radioiodine treatment of Grave's disease?","Thyroid storm","Subacute thyroiditis","Thyroid cancer","Hypothyroidism","D","'D' [COMEDK-08]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","82","Which one of the following nerves is not encountered during submandibular gland resection?","Lingual nerve","Hypoglossal nerve","Accessory nerve","Marginal mandibular nerve","C","'C' [COMEDK-08]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","83","First investigation for solitary thyroid nodule swelling is","Thyroid scan","CT scan","MRI","FNAC","D","'D' [MCET-07, KERALA-2015]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","84","A Patient is wide eyed, very nervous with an increased systolic pressure (with widening of the pulse pressure), increased pulse rate, fine skin and hair and loss of body weight. He is probably suffering from?","Hypothyroidism","Hyperthyroidism","Hyperpituitarism","Hyperparathyroidism","B","'B' [AIPG-09]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","85","Which is more dangerous after a thyroidectomy resulting in acute respiratory distress","Damage to external laryngeal nerve","Unilateral complete damage to recurrent laryngeal nerve","Unilateral partial damage to recurrent laryngeal nerve","Bilateral partial section of recurrent laryngeal nerve","D","'D' [COMED-2012]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","86","Causes for primary hyperparathyroidism","Parathyroid carcinoma","Renal failure","Rickets","Malabsorption","A","'A' [KCET-2012]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","87","All of the following are features of Hyperthyroidism except-","Thin person","Decreased Waist : hip ratio","Excessive sleep","Increased Muscular activity","C","'C' [MCET-10]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","88","The following are true of primary thyrotoxicosis, EXCEPT","Tremors","Warm extremities","Diarrhea","Intolerance to cold","C","'C' [KCET-10]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","89","Which one of the following feature is NOT associated with primary hyperparathyroidism-","Giant cell tumour","Sharply defined radiolucencies of maxilla and mandible","Partial loss of lamina dura","Hypercementosis","A","'A' [KCET-09]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","90","Treatment of choice in cold nodule of thyroid","Sub-total thyroidectomy","I-131","Hemithyroidectomy","Excision of nodule","C","'C' [KCET-09]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","91","Thyroid carcinoma with pulsating vasular skeletal metastasis is-","Follicular","Anaplastic","Papillary","Medullary","A","'A' [KCET-09]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","92","Pleomorphic adenomas arising from the minor salivary glands can be treated with","Local excision with 2mm margin","Local excision with 5mm margin","Radiotherapy","Chemotherapy","B","'B' [KCET-2011]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","93","Which of the following statements is true regarding thyroglobulin?","It is a specific marker for anaplastic carcinoma","Elevation after complete therapy suggests recurrence in well-differentiated thyroid malignancies","Preoperative elevation always suggests thyroidal disease","Intra op estimation from thyroid veins is very useful for prognosis","B","'B' [COMEDK-2011]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","94","'Thyroid storm' is treated by following except","Aspirin for hyperpyrexia","Propranolol","Dehydration is corrected","Sodium iodide","A","'A' [GCET-14]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","95","Cricothyroidotomy is contraindicated in","Age below 5 years","Age between 15-20 yrs","Age between 20-30 yrs","Age between 30-40 yrs","A","'A' [COMED-14]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","96","Occult thyroid malignancy with nodal metastases is seen in","Medullary carcinoma","Follicular carcinoma","Papillary carcinoma","Anaplastic carcinoma","C","'C' [KERALA-2015]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","97","Plunging ranula is a type of","Retention cyst","Extravasation cyst","Implantation cyst","Malignant tumor","A","'A' [MHCET-15]",""
"General Surgery","1. Diseases of Salivary & Thyroid Glands","98","Subcapsular plexus of lymphatics from the thyroid drains into","Level I","Level III","Level VII","Level VI","B","'B' [KERALA-2015]",""
