Subject,Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Endodontics,5. BLEACHING,6,Tooth discoloration is due to:,Acute pulpal abscess,Pulpal hyperemia,Pulpal death,None of the above,c,"C' [Grossman 12th ed 345]
Pulpal death is most common cause of tooth discoloration. There is breakdown of haemoglobin into various pigments like hemin, hematin, hemosiderin, hematoporphyrin. Hydrogen sulfide produced by bacteria combines with these pigments and darkens the tooth."
Endodontics,5. BLEACHING,7,Carbamide solution used for bleaching degrades into,0.3% sodium perborate,30% hydrogen peroxide,3% hydrogen peroxide,30% sodium perborate,c,"C' [Cohen 8th ed 755/ Grossman 12th ed 348]
Carbamide peroxide degrades into 3% hydrogen peroxide (active ingredient) and 7% urea."
Endodontics,5. BLEACHING,8,Vital bleaching causes,Internal resorption,Cervical resorption,External resorption,Periapical periodontitis,d,D' [Grossman 12th ed 349]
Endodontics,5. BLEACHING,10,Night guard bleaching refers to:,Laser activated bleaching,Dentist prescribed home applied technique,Thermo bleaching,Photo bleaching,b,"B' [Grossman 12th ed 353]
Dentist prescribed home bleaching methods of vital teeth or night guard bleaching is treatment of choice. Ans 'A' is for microabrasion, a method used to remove surface stains or defects. Ans 'C' is for non vital teeth."
Endodontics,5. BLEACHING,11,The bleaching material used for night guard vital tooth bleaching is,Superoxol,Anesthetic ether and hydrochloric acid,Sodium bicarbonate,Carbamide peroxide,d,D' [Ingle 6th ed 1394]
Endodontics,5. BLEACHING,12,Discoloration of the teeth results from,Decomposition of the pulp,Filling materials,Haemorrhage following pulp extirpation,All of the above,d,D' [Grossman 12th ed 344]
Endodontics,5. BLEACHING,13,In case of bleaching technique to remove fluorosis stains,1% ether removes the surface debris,36% hydrochloric acid etches the enamel,30% H2O2 bleaches the enamel,All the above are correct,d,"D' [Grossman 12th ed 358]
Composition of Mc-Inns solution used for removal of endemic flourosis stains is
| Component | Volume | Function |
|---|---|---|
| 1 part anesthetic ether | 0.2 ml | Removal of surface debris |
| 5 parts of HCL (36%) | 1ml | Etching of enamel |
| 5 parts of H202 (30%) | 1 ml | Bleaching of enamel |"
Endodontics,5. BLEACHING,14,Which of the following is not responsible for endogenous staining of teeth during development?,Tetracycline,Rh incompatibility,Neonatal liver disease,Vitamin-C deficiency,d,D' [Grossman 12th ed 344]
Endodontics,5. BLEACHING,15,Discoloration of tooth in tetracycline therapy is because of formation of?,Calcium orthophosphate,Dicalcium phosphate dihydrate,Calcium Oxide,Tetracalcium phosphate,a,"A' [Text book of oral medicine by Ghom 3rd ed 119]
Tetracycline causes discoloration during formation period. It reacts with calcium to form calcium orthophosphate complex. The minimum amount required to produce discoloration is 21 mg/kg/body weight."
Endodontics,5. BLEACHING,16,"The ""in office"" non vital bleaching technique is",Walking bleach,Power bleach technique,Thermo catalytic technique,Night guard technique,c,C' [Cohen 8th ed 755/ Grossman 12th ed 348]
Endodontics,5. BLEACHING,17,"Following intracoronal bleaching immediate composite restoration required, what has to be done:",Treat with catalase,Wait for 7 days is mandatory,Treat with H202 for 3 minutes,Not possible,a,"A' [Grossman 12th ed 352]
Composites should be delayed for 2-3 weeks after bleaching, to allow for dissipation of residual peroxides that would interfere with the bonding agents. Catalase treatment at the final visit may enhance removal of residual peroxides but it is still under investigation. Sodium Ascorbate can also be used. It is a buffered form of vitamin C that consists of 90% Ascorbic acid bound to 10% sodium, a powerful antioxidant useful in eliminating residual oxygen following bleaching."
Endodontics,5. BLEACHING,18A,A twenty year old female patient comes to the clinic with discoloration of the upper right central incisor. This tooth was intact and otherwise asymptomatic. The most likely cause for the discoloration in this patient would be,Pulp necrosis,Dental resorption,Internal resorption,Microleakage,a,"A' [Grossman 12th ed 345]
In this case, the discoloration is present in a single tooth. So, pulp necrosis is the most likely cause."
Endodontics,5. BLEACHING,18B,The treatment most often employed for managing discoloration in a non-vital teeth is,Microabrasion,Walking bleach,Over the counter bleaching,Veneer,b,B' [Q.No.3 and 4]
Endodontics,5. BLEACHING,18C,The common sequel following bleaching non vital teeth are:,Ankylosis,Periodontal pathology,External cervical resorption,Reinfection,c,C' [Explanation of Q.No.1]
Endodontics,5. BLEACHING,18D,Bleaching is indicated in which of the following clinical situations,Dentin discolorations,Teeth with discolored composites,Tooth discoloration due to caries,Teeth with superficial discolorations,a,"A' [Grossman 12th ed 346]
Bleaching agents like HâOâ can penetrate dentin and release oxygen that breaks down the double bond of organic and inorganic compounds inside the tubule. Options B, C and D are contraindications of bleaching."
Endodontics,5. BLEACHING,19,Glass ionomer cement is used as a barrier over gutta-percha filing before bleaching an endodontically treated discolored tooth.,To prevent bleaching agent from dissolving the gutta-percha.,To prevent percolation of the bleaching agent into the apical area,To prevent contamination of bleaching agent,To prevent discoloration of tooth from obturating material.,b,"B' [Grossman 12th ed 349]
â¢ Quality of seal in the apical part as well coronal part of the root canal system is important to prevent percolation of fluids. In non-vital bleaching, Cavit or GIC or MTA is placed as a barrier material over the root canal filling material.
â¢ The level of barrier should be 1mm incisal to CEJ.
â¢ This prevents percolation of bleaching agent into the root canal filling and nearby into the periapex.
â¢ This also confines the bleaching agent to the crown thereby preventing cervical root resorption."
Endodontics,5. BLEACHING,20,Till what age tetracycline should not be given to prevent discoloration,3 year,8 year,12 year,18 year,b,"B' [Check KDT 6th ed 714]
Tetracycline when given from mid pregnancy to 5 months of extrauterine life, the deciduous teeth are affected with discoloration. When given between 3 months to 6 years of age, they affect the crowns of permanent anterior dentition. They should be avoided from 4 months in utero to 8 years."
Endodontics,5. BLEACHING,21,Minimum dosage of tetracycline which will show tooth discoloration is,5 mg/kg body weight,20 mg/kg body weight,50 mg/kg body weight,80 mg/kg body weight,b,"B' [Check Journal of Paediatric dentistry 1987;9(3)- 245-46]
Many clinical studies revealed that average dose consumption of 20-35 mg/kg body weight / day during tooth formation results in discoloration. Doses > 35 mg/ kg/day results in both discoloration and hypoplasia of enamel."
Endodontics,5. BLEACHING,22,Microbrasion is a procedure in clinical orthodontics performed to,Clean the bracket base,Clean the archwire,Polishing the bracket,Removal of white spot lesions.,d,"D' [Graber 4th ed 621]
After the braces are removed, the first step is treatment of white spot lesions by allowing natural remineralization. The second step is external bleaching to help camouflage white spots. A third step for patients with severe white spot is acid microabrasion to eliminate the external layer of the lesion, followed by application of CPP-ACP (recaldent) paste. When demineralizing capacity of the oral fluids is exhausted and white spots are established microabrasion is the optimal way to remove superficial enamel opacities. By this one can eliminate enamel stains with minimal enamel loss. This can be achieved with a custom made gel consisting of 18% HCl, pumice and glycerine. This is applied for 5 minutes with an electric tooth brush and then rinsed. This process is repeated 2 to 3 times a month."
Endodontics,5. BLEACHING,23,"A 12-year-old patient who experienced dental trauma a year ago. Upon examination, it's discovered that the affected tooth presents with a calcified canal, yellow discoloration, and a periapical index of 2. Given this clinical presentation, what treatment plan would be most appropriate?",Endo treatment followed by veneers,Endo treatment and non-vital bleaching,Endo treatment with full crown,Vital bleaching,b,"B' [Check Explanation Below/ Check Ques No 15 RECENT PAPERS 2020-21 ENDODONTICS]
â¢ All the clinical presentations of the affected tooth i.e. a calcified canal, yellow discoloration, and a periapical index score of 2 indicate that a tooth has become non vital and hence, endodontic treatment is needed.
â¢ In Periapical index, a score of 2 indicates small changes in bone structures, and is considered as healthy. For managing yellow discoloration, root canal treatment followed by non-vital bleaching is the best treatment option considering the age of the patient (crown not advised). Veneer will be overprescribed option for mild stains."
Endodontics,6. ENDODONTIC SURGERY,1,"All of the following incisions are recognized, standard approaches for an apicoectomy EXCEPT.",Cervical margin of teeth with buccal extensions,Rectangular,Semilunar,Triangular,b,B' [Grossman 12th ed 401-02]
Endodontics,6. ENDODONTIC SURGERY,2,Which is true about mucogingival flap designs,Flaps should be wider at the base,Flaps should be narrower at the base,Flap margins should not rest on the bone,Mucogingival flaps should be avoided,a,"A' [Grossman 12th ed 401]
Cardinal principles of flap design:
â¢ The base of the flap should be wider than the free end to ensure adequate circulation into the flap.
â¢ The sutured flap margins should rest on solid cortical bone plate.
â¢ Incision should be made with a firm, continuous stroke, perpendicular to cortical bone. Short intermittent incisions result in tissue tags and ragged margins."
