Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Image Reference
Dental Cements,12,pH of polycarboxylate liquid is:,5,7,8,1.7,D,"'D' [Phillips' 11th ed 469/ 12th ed 319]
pH of liquid of polycarboxylate cement is 1.7. However, the liquid is rapidly neutralized by the powder and as the setting reaction proceeds, the pH of mix rises rapidly.

In addition, the larger size of polyacrylic acid molecules limits its diffusion through dentinal tubules. Despite the initial acidic nature of the polycarboxylate cements, their products produce minimal irritation to pulp.",
Dental Cements,13,Which is the cement with adhesive properties?,Zinc oxide eugenol,Zinc polycarboxylate,Silicate,Glass ionomer,B&D,'B & D' [Phillips' 11th ed 466/ 12th ed 318],
Dental Cements,14,"When selecting the colour of cement to use for cementing a porcelain jacket crown, the powder being tested is best mixed with:",Only water,Cement liquid,Alcohol,Glycerin-water solution,D,'D' [Phillips' 12th ed 330],
Dental Cements,15,Eugenol may be replaced in the zinc oxide eugenol cement by:,Acetic acid,Alginic acid,Phosphoric acid,Ortho-ethoxy acid,D,"'D' [Phillips' 11th ed 253/ 12th ed 331]
Mechanical properties of ZOE cement can be improved by adding alumina to the powder and orthoethoxy benzoic acid to the liquid or by reinforcing with polymers.

Reinforced ZOE cements are used for intermediate restorations.",
Dental Cements,16,The setting reaction of zinc phosphate is retarded by?,Increase in the ratio of powder to liquid,Diluting the liquid with water,Increase the addition of powder to liquid,Decrease the addition of powder to liquid,D,"'D' [Phillips' 11th ed 463/ 12th ed 317]
Setting time of zinc phosphate cement can be increased by decreasing the rate of addition of powder to liquid. But the best way to control setting time is by regulating the temperature of the mixing slab.

Introduction of powder into the liquid for the first few increments increases working and setting times by reducing the amount of heat generated.",
Dental Cements,17,Thermal conductivity of which material is close to dentin:,Amalgam,Silicate,Composite resin,Cavity varnish,B,'B' [Phillips 11th ed 54],
Dental Cements,18,pH of fully set zinc phosphate:,3-4,4-5,6-7,7-8,C,"'C' [Phillips' 11th ed 464/ 12th ed 318]
The pH of the mix after mixing is approximately 2, but increases rapidly to a pH of 6 in 24-48 hours. So damage to pulp from acid occurs during the first few hours after insertion.

Underlying dentin should be protected against the infiltration of acid via the dentinal tubules to prevent pulpal injury.",
Dental Cements,19,The logical explanation for the unique anticariogenic property of most silicate cements is:,The reduction in enamel solubility due to fluoride uptake by enamel,That beryllium flux is used in silicates,That silicates show very little leakage at the margins of the restoration,Due to the high silica content,A,"'A' [Phillips' 11th ed 446]
'A' [Phillips' 11th ed 446]",
Dental Cements,20,Thickness of luting cement is:,20-40µ,10-20µ,60-80µ,1-2µ,A,'A' [Phillips' 11th ed 451/ 12th ed 314],
Dental Cements,21,The two cements which hold with the tooth are:,GIC and polycarboxylate,GIC and ZnPO₄,ZnPO₄ and silicate,GIC and silicate,A,"'A' [Phillips' 11th ed 467, 471/ 12th ed 318]",
Dental Cements,22,Which of the following is false about GIC?,Acid treatment of the tooth surface is required before placement,Poor marginal seal,Low fracture resistance,Has ability to renew broken ionic bonds,B,"'B' [Nisha Garg 2nd ed 489]
GIC exhibits good marginal seal.",
Dental Cements,23,All of the following is used as accelerator in zinc oxide eugenol cement except,Acetic acid,Zinc acetate dehydrate,Calcium chloride,Bromoglycerine,D,'D' [Manappalil 2nd ed 40],
Dental Cements,24,Which of the following cements is most biocompatible with pulp?,GIC,Copper cement,Zinc phosphate cement,Zinc oxide eugenol cement,D,"'D' [Phillips' 11th ed 489/ 12th ed 331]
pH of ZOE cement at the time of insertion is 7 and it is one of the least irritating of all dental cements and provides excellent seal against leakage.",
Dental Cements,25,What is the working time of zinc polyacrylate cement?,1 minutes,2 minutes,3 minutes,4 minutes,C,"'C' [Phillips' 11th ed 468/ 12th ed 320]
Working time of zinc polycarboxylate is 2.5 min. and the working time of zinc phosphate cement is 5 min. approximately.",
Dental Cements,26,The major component of zinc phosphate cement is:,Zinc oxide,Phosphoric acid,Zinc,None of the above,A,"'A' [Phillips' 11th ed 461/ 12th ed 316]

Composition of Zinc phosphate cement:

| Powder | • ZnO – 90%
• MgO – 10% |
| Liquid | • Phosphoric acid
• Aluminum phosphate
• Water
• Zinc phosphate |",
Dental Cements,27,Which of the following cements is most kind to pulp?,Glass ionomer,Polycarboxylate,Silicate,Resin cement,B,"'B' [Phillips' 11th ed 469/ 12th ed 320]
The most biocompatible cements to pulp in decreasing order are ZOE and polycarboxylate, GIC, ZnPO₄. Resin cements and silicate cements have an irritating effect on pulp.",
Dental Cements,28,Polycarboxylate cement is used for:,Temporary restoration,Permanent restoration,Leuting,Die material,C,"'C' [Phillips' 11th ed 466/ 12th ed 319]
Zinc polycarboxylate, ZnPO₄, silicophosphate, ZOE, GIC and resin cements can be used as cementing or leuting agents. ZOE and resins are used as temporary restorations.",
Dental Cements,29,Silicate cement is indicated in:,Mouth breathers,Patients with high caries index,In the restoration of posterior tooth,None of the above,B,"'B' [Phillips' 11th ed 446]
Silicates have anticariogenic action due to its high fluoride content (15%). So it is indicated in patients having high caries index.

If the restoration is allowed to dry, it becomes powdery and opaque and so it is contraindicated in mouth breathers.",
Dental Cements,30,The dual cure cements should not be used with light transmitting prostheses thicker than,1.0 mm,1.5 mm,2.0 mm,2.5 mm,D,"'D' [Phillips' 12th ed 330]
In dual cure cements, chemical activation is slow and provides extended working time until the cement is exposed to the curing light. They should not be used with light transmitting prostheses thicker than 2.5 mm. Anything thicker than this should be bonded with chemically curable cement.",
Dental Cements,31,Which of the following luting cements shows maximum solubility?,Glass ionomer,Silicate,Zinc Polycarboxylate,Zinc phosphate,B,"'B' [Phillips' 11th ed 486]
Silicate cements are highly soluble and not commonly used today due to poor mechanical properties and high disintegration rate. If silicate is not given in the options, then GIC is the right answer.

| Cement | Solubility (%) |
|---|---|
| Glass ionomer | 1.25 |
| Resin-modified glass ionomer | 1.00 |
| Compomer | 0.69 |
| Zinc polycarboxylate | 0.06 |
| Zinc phosphate | 0.06 |
| ZOE (Zinc Oxide Eugenol) | 0.04 |
| ZOE–EBA (type II) | 0.05 |
| ZOE + polymer (type II) | 0.08 |
| Resin | 0–0.01 |

Even though phosphate and polycarboxylate cements have similar measured solubility, polycarboxylate tends to break down faster in the mouth, especially if not mixed properly, so it is considered more soluble in practice..",
Dental Cements,32,Which of the following is most important in strength of ZOE:,Liquid powder ratio,Temperature of mixing stab,Speed of mixing,Addition of few drops of water,A,'A' [AIPG -2K],
Dental Cements,33,Which cement is irritating to the pulp?,Carboxylate cement,ZOE cement,Zinc phosphate,Ethoxybenzoic acid,C,'C' [Phillips' 11th ed 464/ 12th ed 318],
Dental Cements,34,The effect of zinc oxide-eugenol on the pulp?,Is irritating,Encourages pulpal fibrosis,Is sedating,Has no effect,C,"'C' [Phillips' 11th ed 489, 490]
ZOE cement has an obtundant or sedative action on pulp.",
Dental Cements,35,Which component of zinc oxide-eugenol cement gives its strength?,Rosin,Zinc oxide,Zinc acetate,Oil of cloves,C,"'C' [Craig 11th ed 604,605]
The powder is mainly zinc oxide, with added white rosin to reduce the brittleness of the set cement, zinc stearate as a plasticizer, and zinc acetate to improve the strength of the cement. The liquid is eugenol with olive oil as a plasticizer. Two compositional changes have been used to increase the strength of the cement for luting purposes. In one, methyl methacrylate polymer is added to the powder, and in the other, alumina (Al₂O₃) is added to the powder and ethoxybenzoic acid (EBA) to the liquid.",
Dental Cements,36,Most soluble cement?,Compomer,Zinc Phosphate,ZnOE,Resin modified GIC,D,"'D' [Check Q31]
Increasing order of solubility of the given options are:
ZnOE < Zinc Phosphate < Compomer < Resin-modified GIC",
Dental Cements,37,The main components in silicophosphate cement:,Zinc phosphate & GIC,Silicate and GIC,ZOE and Silicate,Zinc phosphate and Silicate,D,"'D' [Phillips' 10th ed 568]
Zinc silicophosphate cement consists of Zno, silicate powder and phosphoric acid liquid. It has anticariogenic action.",
Dental Cements,38,Secondary caries is least likely seen with:,Silicate cement,Zinc phosphate,Polycarboxylate,GIC,A,'A' [Phillips' 11th ed 446/ 12th ed 323],
Dental Cements,39,Fluoride recharging of a glass ionomer cement restoration is more effective by which of the following agents?,0.02% NaF solution for 2-3 minutes,0.02% NaF solution for 2-5 minutes,1.23% APF solution for 4-5 minutes,1.23% APF solution for 2-3 minutes,C,"'C' [Philip's 12th ed 334]
The most common recharging method is to expose the GIC restoration to a concentrated fluoride agent in the range of 0.02% for a NaF solution (90 ppm) to 1.23% acidulated phosphate fluoride (APF, 12,300 ppm) for 4 to 5 minutes. The ability of a restorative material to be recharged and serve as a fluoride reservoir depends on the type and permeability of the material, the frequency of fluoride exposure, and the concentration of the fluoridating agent. For example, recharging is more effective by acidic fluoridating agents such as APF. However, the extensive use of APF is known to cause surface damage of restoratives and is not recommended for frequent application on conventional glass ionomers.

Glass ionomers and compomers are significantly better for recharging than resin-based composite materials, but this depends on the composition of the materials. Hybrid ionomers are often reported to have the highest capacity for recharging. It has also been reported that as the specimens age, their efficiencies of fluoride recharging decrease.",
Dental Cements,40,Which of the following materials is commonly used for temporary restorations in dentistry?,GIC,Zinc oxide eugenol,Composite resin,Amalgam,B,'B' [Phillips' 11th ed 490/ 12th ed 331],
Dental Cements,41,Which of the following cements is contraindicated in mouth breathers:,Silicate,ASPA,Polycarboxylate,Zinc phosphate,A,'A' [Phillips' 10th ed 528],
Dental Cements,42,Why GIC is best restorative material in children:,High strength,Good marginal integrity,It can bond to both enamel & dentin,It has less occlusal wear,C,"'C' [Phillips' 11th ed 475/ 12th ed 321]
The carboxylic acid side groups are capable of chelating surface ions on the glass particles or calcium ions from the tooth structure.",
Dental Cements,43,The principle application of zinc phosphate cement is:,In final cementation,As temporary cementation,As a temporary filling material,It has less occlusal wear,A,'A' [TNPSC -99],
Dental Cements,44,The setting of zinc phosphate is accelerated by:,Adding a drop of water,Increasing mixing time,Cooling the slab,Adding a drop of oleic acid,A,"'A' [Phillips' 11th ed 462]
Increased mixing time (spatulation time) retards the setting reaction as the matrix is destroyed. But whereas in case of dental stones increased spatulation within limits accelerates the setting time.",
Dental Cements,45,Which of the following cements have anti cariogenic property:,ZOE,Calcium Hydroxide,Zinc silicophosphate,Zinc phosphate,C,'C' [Phillips' 11th ed 446],
Dental Cements,46,pH of which cement remains below 7 even after 1 month after insertion into the cavity?,GIC,Zinc phosphate,Resin cement,Silicate cement,D,'D' [Phillips' 10th ed 528],
Dental Cements,47,Which of the following characterizes the silicate cement:,It is pulpal irritant,It is highly cariogenic,Chemically attaches to the tooth structure,It produces thinnest film surface,A,'A' [Phillips' 11th ed 458],
Dental Cements,48,"The most commonly used, most biocompatible and adhesive cement is:",Zinc phosphate,Zinc oxide eugenol,Calcium hydroxide,Glass ionomer,D,"'D' [Phillips' 11th ed 475/ 12th ed 320]
Though ZOE cement is most biocompatible, it does not adhere to tooth structure.",
Dental Cements,49,"Which of the following cements bonds to tooth structure, which has an anticariogenic effect, has a degree of translucency and does not irritate the pulp?",Polycarboxylate cement,Resin cement,Silicate cement,GIC,D,"'D' [Phillips' 11th ed 446, 467, 469/ 12th ed 320]",
Dental Cements,50,Torsional force is:,Compression,Tensile force,Shear,Transverse bending force,C,'C' [Phillips' 10th ed 52/ 12th ed 53],
Dental Cements,51,"All of the following are true for traditional solution liner, except:",It is not necessary in moderately deep cavities under glass ionomer restoration,Have Film thickness of 1 -50 microns,Do not provide thermal or electric insulation,Protect the pulp from reaction products leaching out of restoration,B,'B' [Sturdevant 4th ed 170],
Dental Cements,52,All of the following is used as accelerator in zinc oxide eugenol cement except,Acetic acid,Zinc acetate dehydrate,Calcium chloride,Bromoglycerine,D,'D' [Manappallil 2nd ed 40],
Dental Cements,53,The greatest amount of fluoride recharge is seen with,Composites,Resin modified glass ionomers,Resin composites,Polycarboxylates,B,'B' [Philip's 12th ed 325 & 334],
Dental Cements,54,The principal constituent of set silicate cement matrix is:,Hydrated Aluminium phosphate,Hydrated Aluminium phosphate with calcium fluoride,Hydrated Aluminosilicate gel,"Hydrated Aluminium phosphate crystals, CaF₂ aluminosilicate gel.",D,'D' [Phillips 11ed 270],
Dental Cements,55,The cavity varnish applied reduces post operative sensitivity in amalgam restoration by:,Decreasing conduction of heat to pulp,Minimize marginal leakage around restoration,By altering the chemical composition of restoration materials,By preventing penetration of corrosion products into the dentinal tubules,B,"'B' [Phillips' 11th ed 459/ 12th ed 314]
Varnish reduces the infiltration of irritating fluids through marginal areas.",
Dental Cements,56,Age hardening is a process done at:,Heating up to 200 – 450°C for 15 – 30 min and quenching in water,Heating at 700°C for 10 – 15 min and quenching in water,Heating at 700°C for 1 hour and quenching in water,Heating above 700°C for 30 min and quenching in water,A,'A' [Manappallil 2nd ed 324],
Dental Cements,57,Which cement base has the highest modulus of elasticity?,Zinc polycarboxylate,Polymer reinforced ZOE cement,Zinc phosphate,Glass inomer cement,C,"'C' [Phillips' 11th ed 475/ 12th ed 311]
Zinc phosphate has high modulus of elasticity of 13.7GPa. It is quite stiff whereas GIC is less stiff.",
Dental Cements,58,Frozen slab technique is applicable to:,Zinc phosphate cement,GIC,ZOE cement,Resin cement,A,"'A' [Phillips' 11th ed 463/ 12th ed 317]
Cooling the slab markedly reduces the chemical reaction between the powder and the liquid, thereby regarding the formation of the matrix.",
Dental Cements,59,Ethoxy benzoic acid increases the strength and solubility of the cement:,Zinc oxide eugenol,Polycarboxylate cement,Zinc phosphate cement,Silicate cement,A,"'A' [Phillips' 10th ed 575/ 12th ed 331]
Eugenol causes burning or stinging sensation. EBA (Orthoethoxy benzoic acid) is a valuable substitute for eugenol in this regard.",
Dental Cements,60,Which of the following acts as accelerator in Zinc oxide eugenol:,ZnCl₂ + Eugenol,ZnCl₂ + ZnSO₄,Eugenol + ZnO,Zn(OH)₂ + ZnO,B,'B' [AIPG-07],
Dental Cements,61,In non-eugenol pastes the constituents are mixed in,Phosphoric Acid,Ethyl alcohol,Benzoic acid,None of the above,C,'C' [AP-08],
Dental Cements,62,The selection of a pulp protecting agent does not depend on,Remaining dentin thickness,Choice of restorative material,Symptoms of the patient,Stage of tooth development,D,"'D' [Phillips' 12th ed 315]
The selection of a pulp protecting agent i.e., varnish, liner or a base depends on
• remaining dentin thickness
• type of protection required i.e., chemical (or) thermal (or) electrical protection
• type of restorative material chosen. Eg: If composite restoration is chosen, then Ca(OH)2 and GIC liner are selected.
• whether any caries prevention benefits are required
• Selection of pulp protection agents does not depend on stage of tooth development.",
Dental Cements,63,Mechanism of adhesion of GIC restoration with tooth surface is by means of?,Carboxyl group,Chelates with Metal Ions,C=C double bond,Polymer Chains,A,"'A' [Phillips' 11th ed 475/ 12th ed 321]
The carboxylic acid side groups are capable of chelating surface ions on the glass particles or calcium ions from the tooth structure.",
Dental Cements,64,Frozen slab technique of mixing zinc phosphate is used for:,cementing crowns,temporary dressing,base,cementing orthodontic bands,A,"'A' [Phillips' 11th ed 463/ 12th ed 317]
Cement prepared on a cool slab permits cementation of cast restorations as the mix will be less viscous.",
Dental Cements,65,The setting time of ZnPO4 cement can be retarded by,mixing more powder to the liquid,"mixing powder to liquid, checked by water",slower addition of powder to liquid,faster addition of powder to liquid,C,'C' [Phillips' 11th ed 462/ 12th ed 317],
Dental Cements,66,About zinc oxide eugenol all are true except -,ZnO is converted to Zn(OH)2,Reaction is autocatalytic,Water is the byproduct of reaction,Dehydrated ZnO reacts with dehydrated eugenol,D,"'D' [Phillips' 11th ed 490/ 12th ed 331]
The setting mechanism for ZoE materials consists of Zinc oxide hydrolysis and a subsequent reaction between zinc hydroxide and eugenol to form a chelate.
• Water is needed to initiate the reaction, and it is also a byproduct of the reaction.
• Accelerators for setting reaction: humid environment, acetic acid, high temperature, zinc acetate dehydrate",
Dental Cements,67,Mode of failure during dislodgement of prosthesis cemented with zinc poly carboxylate cement is usually seen at the,Cement tooth interface,Cement prosthesis interface,Cleavage through the cement layer,Fracture of tooth or prosthesis,B,"'B' [Phillips 11th ed 457/ 12th ed 312]
Two modes of failure are associated with cements:
• Fracture of the cement
• Failure of the cement prosthesis interface. This is the most common failure.

Zinc polycarboxylate bonds chemically with tooth and if failure occurs, it occurs at cement prosthesis interface.",
Dental Cements,68,Which glass ionomer cement develops early resistance to water intake on setting?,Reinforced auto care glass ionomer cement,Compomer,Resin modified glass ionomer cement,Ceramic reinforced glass ionomer cement,C,"'C' [Phillips 11th ed 482/ 12th ed 326]
Moisture sensitivity and low early strength are the disadvantages of conventional GIC. RMGIC has been introduced to overcome these two inherent drawbacks.",
Dental Cements,69,Which one of the following restorative materials is having coefficient of thermal expansion close to that of tooth enamel and dentin?,Microfilled composite resins,Pure gold,Silver amalgam,Type II Glass ionomer cement,D,"'D' [Phillips' 11th ed 55/ 12th ed 40]

| Material | Co-efficient of thermal expansion |
|---|---|
| Dentin | 0.75 |
| Enamel | 1.00 |
| Silicates | 0.996 |
| GIC Type II | 0.96 |
| Porcelain | 0.58 |
| Unfilled resins | 7.11 |
| Inlay wax | 35.1 |",
Dental Cements,70,Which one of the following dental cements does not contain water as part of the composition of the liquid component?,Zinc phosphate cement,Zinc oxide eugenol cement,Zinc silicophosphate cement,Zinc polycarboxylate cement,B,'B' [Phillips' 11th ed 490/ 12th ed 331],
Dental Cements,71,All of the following statements are true for zinc oxide eugenol cements except,Equal lengths of base paste and accelerator paste are mixed together until the mix has a uniform colour,Increase in temperature and humidity shorten the setting time,The mix appears thick at the start of mixing but after 30 seconds of additional spatulation it becomes more fluid,water accelerates but heat retards the setting of zinc oxide eugenol cements,C&D,"'C & D' [Phillips' 11th ed 253/ 12th ed 179]
Both water and heat accelerates the setting reaction and thereby reduces setting time.",
Dental Cements,72,Cavity varnishes have,average bonding to tooth,low bonding to tooth,excellent bonding to tooth,no bonding to tooth,D,'D' [Phillips' 11 ed 459/ 12th ed 314],
Dental Cements,73,Advantage of Zinc phosphate over GIC is:,High compressive strength,Tensile strength,High modulus of elasticity,Diametral strength,C,"'C' [Phillips' 11th ed 475/ 12th ed 311]
The modulus of elasticity of GIC is only about one-half that of zinc phosphate cement. Thus GIC is less stiff and more susceptible to elastic deformation. In this regard, it is not as desirable as zinc phosphate cement.",
Dental Cements,74,Restoration commonly recommended for cervical abrasion is,Sillicate,Poly carboxylate,Glass ionomer,Composites,C,"'C' [Atlas of GIC by G.J. Mount Pg 170]
Both GIC and composite can be used for restoring cervical abrasion lesions. But according to the key as well as the above reference the most commonly recommended is GIC.

Note: Cervical abrasion most commonly involve root surfaces.

GIC will adhere very effectively to the burnished sclerotic surface of the root through ion-exchange mechanism. Also these non-carious cervical lesions have smooth surface and GIC is the best for any form of chemical adhesion.",
Dental Cements,75,Strength of zinc phosphate is effected by,Temp of glass slab,P:L ratio,Consistency of mix,Alteration of mixing time,B,"'B' [Craig 12th ed 491]

Effect of manipulative variables on selected properties of zinc phosphate cement:

| Manipulative variables | Compressive Strength | Film thickness | Solubility | Acidity | Setting time |
|---|---|---|---|---|---|
| ↓ P/L ratio | ↓ | ↓ | ↑ | ↑ | Slower |
| Rapid addition of powder to liquid | ↓ | ↑ | ↑ | ↓ | Faster |
| ↑ Mixing temp. | ↓ | ↑ | ↑ | ↑ | Faster |
| Water contamination | ↓ | ↑ | ↑ | ↓ | Faster |",
Dental Cements,76,Which of the following is related to CAD-CAM for fabrication of ceramic restorations?,Electroforming,Stereolithography,Pressing,Milling,D,"'D' [Phillips 12th ed 423,531]
• Dental ceramics are formed into prosthetic shapes and configurations through a variety of processes including sintering, casting, hot isostatic pressing, copy milling, 3D Printing and CAD-CAM machining.
• CAD-CAM fabrication utilizes digital scanning, Data Processing and Milling/Grinding.

Other fabrication techniques:
a) Copy Milling:
• Works on the principle of tracing a resin prosthesis pattern, which is then milled on ceramic, composite, or metal.
• Similar to cutting a key using a master key.

b) Electroforming:
• A gold or metal coping is formed by depositing metal onto a duplicated die with a conductive silver layer.
• Used to create metal-ceramic restorations with excellent marginal fit.

Three-Dimensional (3D) Printing:
• An additive manufacturing technique where objects are created by depositing successive layers of material.
• Uses UV or laser irradiation to cure liquid resins into solid objects.
• Stereolithography is the first commercial 3D printing method, used for:
  – Wax patterns for casting
  – Provisional prostheses
  – Models fabricated from intraoral or impression scans",
Dental Ceramics & Miscellaneous,1,Porcelain denture teeth:,Have a higher coefficient of thermal expansion than acrylic teeth,Have a lower abrasion resistance than enamel,Should be used where the inter dental clearance is small,Have a higher abrasion resistance than gold,D,"'D' [Phillips' 11th ed 698, 699/ 12th ed 463]
Porcelain teeth have low co-efficient of thermal expansion and higher abrasion resistance. They should be used only when there is sufficient overjet and overbite.",
Dental Ceramics & Miscellaneous,2,Chemical tempering in porcelains is done to interrupt crack propagation by:,Transformation toughening,Dispersion of crystalline phase,Inducing residual compressive strength,All of the above,C,"'C' [Phillips' 11th ed 701/ 12th ed 441]

Strengthening of porcelains (brittle) occurs through:
a) Development of residual compressive stresses
• Ion exchange (or) chemical tempering – Involves exchange of larger potassium ions for the smaller sodium ions.
• Thermal tempering – Involves quenching (cooling) the surface while it is hot and in the molten state.
• Thermal compatibility – The thermal contraction co-efficient of metal is slightly larger than porcelain. This slight mismatch increases strength of porcelain.

b) Disruption of crack propagation
• Dispersion of a crystalline phase – Dispersing Alumina.
• Transformation toughening – With partially stabilized zirconia (PSZ)

Which among the following is NOT a method to strengthen ceramic restoration (PGI June-14)
a) Three layer laminate technique
b) Stiffer supporting materials
c) Higher thermal coefficient of expansion of ceramic as compared to metal substructure
d) Minimize number of porcelain firing cycles",
Dental Ceramics & Miscellaneous,3,The opacity in ceramics is achieved by adding:,Boric oxide,Copper oxide,Silica,Titanium oxide,D,"'D' [Phillips' 11th ed 670/ 12th ed 429]
Pigmented oxides are added to glass to simulate the shades of natural teeth.

| Zirconium oxide, Titanium Oxide | Opaque |
|---|---|
| Copper oxide | Green |
| Iron oxide | Brown |
| Titanium Oxide | Yellow |",
Dental Ceramics & Miscellaneous,4,To prevent porosity in dental porcelain it should be baked:,In presence of air,In vacuum,For long period,Under pressure,B,"'B' [Phillips' 11th ed 672/ 12th ed 433]
Firing in vacuum (or) reduced pressure prevents porosity. Firing for a long time causes changes in the Leucite content and produce stresses sufficient to cause crack in the porcelain size of the powder particles influence the porosity and firing shrinkage.",
Dental Ceramics & Miscellaneous,5,Porosity in porcelain at condensation stage depends on:,Shape and size of particle,Uniform distribution of particle size,Number of particles,None of the above,A,'A' [Phillips' 11th ed 671/ 12th ed 433],
Dental Ceramics & Miscellaneous,6,Pyroplastic flow of porcelain is due to:,High temperature during glazing,Low temperature during glazing,Improper condensation,High firing temperature,A,'A' [Notes on dental materials by E.C.Coombe 136],
Dental Ceramics & Miscellaneous,7,In porcelain metal elements are embedded in the matrix of,Rubber matrix,Glass,Plastic,Resin matrix,B,'B' [Phillips' 11th ed 669/ 12th ed 429],
Dental Ceramics & Miscellaneous,8,Condensation shrinkage of porcelain during firing depends on:,Rate of arriving at firing temperature,Uniformity of particle size,Shape and size of particle,Type of investment used,C,"'C' [Phillips' 11th ed 671/ 12th ed 433]
Thorough condensation helps in producing dense packing. Dense packing of porcelain powder decreases porosity and firing shrinkage.",
Dental Ceramics & Miscellaneous,9,Phenomenon in which porcelain appears different under varying light condition is:,Translucency,Refractive optics,Metamerism,Opacification,C,'C' [Phillips' 11th ed 712/ 12th ed 38],
Dental Ceramics & Miscellaneous,10,Porcelain is best fired:,In open air,Under air compression,When several layers are fired simultaneously,Under minimum pressure,B,'B' [Phillips' 11th ed 672/ 12th ed 433],
