Subject,Chapter,Question No,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
Endodontics,3. BIOMECHANICS,18,All the following are the objectives of access cavity preparation EXCEPT,To remove all caries,To completely unroof the pulp chamber,To achieve straight line access to apical foramen,To have converging axial walls for preservation of tooth structure,d,"[Cohen 10th ed 150]
The axial walls should not be convergent. They should be divergent and smooth to eliminate any restrictive interference that could compromise the achievement of straight line access."
Endodontics,3. BIOMECHANICS,19,12.02 on the endodontic file indicates:,Diameter at tip of instrument,Length of instrument,Angle of instrument,1/100th mm at end of cutting blade,d,"[Grossman 12th ed 226/ Ingle 6th ed 813]
According to new ISO standards three diameter are specified. D1 at the tip, D2 at the end of the cutting portion and D3 is 3mm from the tip."
Endodontics,3. BIOMECHANICS,20,Working length of root canal is,0.5 to 1 mm short of radiographic apex,1 to 2 mm short of apex,Exactly at apex,1 to 2 mm apical to apex,a,"[Grossman 12th ed 247]
All instrumentation procedures should terminate 0.5mm to 1mm from radiographic apex to end in sound dentine. This prevents accidental perforation of apex and ensures firm ""apical matrix"", which is an artificially produced ledge in the apical root canal."
Endodontics,3. BIOMECHANICS,21,"Gross debridement, lubrication, microbial destruction and tissue dissolution are done by this irrigating solution",Sodium hypochlorite,Normal saline,RC prep,Hydrogen peroxide,a,[Grossman 12th ed 226]
Endodontics,3. BIOMECHANICS,22,Reamers and files differ mainly in:,Cross sectional form,Colour coding,Number of flutes along the blade,Instrument formula,c,"[Grossman 12th ed 228]
Files contain more number of flutes than reamers. Though traditional files are made from a square blank, recent files are made in different forms to increase the functional efficiency and fracture resistance.
Eg: K-flex file Rhomboidal or diamond shaped cross-sectional form."
Endodontics,3. BIOMECHANICS,23,Instrumentation well short of the apical foramen can result in:,Forcing necrotic material into the periapical region,Shelfing or ledging the canal,Traumatizing the periapical tissues,Grossly enlarging the apical foramen,b,"[Grossman 12th ed 484]
â¢ Over instrumentation causes forcing of debris into periapical area (A)
â¢ Instrumentation short of apex causes shelfing or ledging of canal.
â¢ Instrumentation with large instruments causes enlarging of apical foramen."
Endodontics,3. BIOMECHANICS,24,The safest instrument for removing the pulp from the very fine canal is:,Barbed broach,Small K type file,Tempered universal Headstroem file,Smooth broach,b,[Grossman 12th ed 241]
Endodontics,3. BIOMECHANICS,25,Apex locator reading 00?,0.5-1 mm,0.75-1 mm,0.25-0.MM,0.5-0.75 mm,a,"[Ingle 6th ed 852]
0.0 or Apex mark with or without audible signal is the most accurate apical reference point achieved with an electronic apex locator. This means it is within 0.5-1 mm of the apical constriction. With root ZX apex locator, this accuracy is reported to be 95-100%."
Endodontics,3. BIOMECHANICS,26,Which of the following is correct about root canal preparation.,Retention form is provided by 2 mm of near parallel walls at the end of root preparation (apical 1/3 rd) to provide tug back of master cone,Resistance form - to preserve the integrity of natural constriction (apical matrix),Extension form - all instrumentation should terminate 0.5 mm short of radiographic apex,to provide tug back of master cone b) Resistance form - to preserve the integrity of natural constriction (apical matrix) c) Extension form - all instrumentation should terminate 0.5 mm short of radiographic apex d) All of the above are correct.,d,[Ingle 5th ed 471]
Endodontics,3. BIOMECHANICS,27,What is the number of Gate Glidden drill used in mid canal region?,5-6,3,2,1,b,"[Harty's endodontics in clinical practise 4th ed 270]
Gates glidden drills are available in sizes 1 to 6 (with corresponding diameters 0.5 to 1.5 mm). They should always be used in the straighter part of the canal. Two procedural sequences have been proposed.
a) Step down - Use of larger GG first, progressing to smaller ones.
b) Step back - Starts with small drill and progresses to larger ones.
GG 6 and GG 5 should only be used on the walls of the access cavity.
GG 4 no deeper than the canal orifice
GG 3 may be used to the mid canal region
GG 2 to the beginning of canal curvature
GG 1 is very fragile, may be used at ultra-low speeds provided it is loose in the canal."
Endodontics,3. BIOMECHANICS,28,Recapitulation:,Uses large files to flare the root canal,Removing debris with a smaller instrument than the instrument that goes to the apex,Use of larger files to flare the root canal but in between use of small instruments to confirm the initial length,The use of various types of reamers and files to enlarge the root canal,c,"[Grossman 12th ed 251]
Recapitulation is returning to a small instrument from time to time before advancing to larger size. Recapitulation prevents the packing of dentin filling and ensure patency of root canal through apical foramen."
Endodontics,3. BIOMECHANICS,29,"When pulp cannot be extirpated in narrow canals, which of the following can be used",Obtundant,Astringent,Haemostatic,Mummifying agent,d,[Ingle 5th ed 555]
Endodontics,3. BIOMECHANICS,30,Root canal is flooded with antiseptic so as to:,Prevent the removal of the shavings from the root canal,Where there is an absence of instrumentation,Prevent infection during instrumentation,Avoid instrumentation,c,[Grossman 12th ed 258]
Endodontics,3. BIOMECHANICS,31,Colour coding of no. 8 hand file is,Pink,Grey,Purple,Red,b,"[Grossman 12th ed 227]
All intracanal instruments are colour coded and each colour represents a size. Pink = 6, Gray = 8, Purple = 10, White = 15, Yellow = 20, Red = 25, Blue = 30, Green = 35, Black = 40, then the colour returns to White = 45, and so on to Blue = 60 and then the instruments increase by 10 as Green = 70, Black = 80, and so onto size 140.
| Colour | Size |
|---|---|
| Pink | 6 |
| Gray | 8 |
| Purple | 10 |
| White | 15 |
| Yellow | 20 |
| Red | 25 |
| Blue | 30 |
| Green | 35 |
| Black | 40 |
Blue coloured reamer is numbered as
a) 60 and 90
b) 25 and 60
c) 10 and 30
d) 30 and 60
Ans: d"
Endodontics,3. BIOMECHANICS,32,"During root canal instrumentation, the apical constriction is violated and enlarged to a size no. 50 instrument, which of the following is appropriate treatment for this canal:",Obturate with gutta-percha and surgically remove extruded excess,Fit a No.50 gutta-percha cone with sealer and carefully condense,Fit a No.50 gutta-percha cone with sealer but don't condense so as to keep the G.P. from being pushed into the foramen,Reinstrument 1 mm short of the foramen to a size No.60 or larger and obturate using an appropriately sized master cone,d,"[Check Explanation Below]
This results in proper resistance form by maintaining apical constriction and prevents over extension of obturation material."
Endodontics,3. BIOMECHANICS,33,Barbed broach is used for:,Extirpation of pulp,Enlargement of canal,Obturation of canals,All of the above,a,"[Grossman 12th ed 227]
| Classification of endodontic instruments | |
|---|---|
| Exploring instruments | Smooth broaches and endodontic explores |
| Extirpating (or) debriding instruments | To remove pulp, debris or other foreign material |
| Enlarging instruments (or) shaping instruments | Reamers and files |
| Obturating instruments | Pluggers, spreader and lentulospirals |"
Endodontics,3. BIOMECHANICS,34,"EDTA, which has its principal use as an ingredient in root canal, is for:",Decalcification of dentine,Dissolution of necrotic debris,Lubrication of the canal during instrumentation,All of the above are correct,d,"[Grossman 12th ed 268]
EDTA is used at a concentration of 15% at Ph 7.3. EDTA-C contains EDTA and Cetavlon, a quarternary ammonium compound used for disinfection. A combination of EDTA and urea peroxide is known as R-C prep. Disodium salt of EDTA is used in endodontic therapy for dissolving pulp stones. RC-prep is a combination of EDTA and urea peroxide in a base of carbowax."
Endodontics,3. BIOMECHANICS,35,Hypochlorite does not cause,Bleaching,remove smear layer,Lubricating,Flush out debris,b,[Grossman 12th ed 268]
Endodontics,3. BIOMECHANICS,36,Angle of Tip of an endodontic instrument,75 + 15Â°,75 - 15Â°,75 Â± 15Â°,80Â°,c,[Grossman 12th ed 226]
Endodontics,3. BIOMECHANICS,37,Smallest no file is,4,6,8,10,b,[Grossman 12th ed 227]
Endodontics,3. BIOMECHANICS,38,Sequence of endodontic instrumentation,Broach-reamer-file,Reamer-Broach-file,File-Reamer-Broach,File-broach-reamer,c,"[Check Explanation Below]
Once the canal is penetrated, smooth broach or 10 to 20 numbered K-files are used for exploration. Broaches should not be inserted unless the root canal is enlarged to a size of 20 or 25 reamer or file, as they break easily."
Endodontics,3. BIOMECHANICS,39,Most important step in root canal preparation?,Biomechanical preparation,Obturation,Access canal opening,None of the above,a,"[Grossman 12th ed 263]
Biomechanical preparation should provide smooth, funnel shaped tapered walls for obturation. It also eliminates microorganisms from canal surface."
Endodontics,3. BIOMECHANICS,40,Most important criteria in using irrigating solution is,Volume of irrigation,Thickness of syringe used,Concentration of irrigant,None of above,a,"[Grossman 12th ed 266,270]"
Endodontics,3. BIOMECHANICS,41,In case of retreatment which is ideal for removal of G.P.?,H-file,K-file,GT-file,Lentulospiral,a,[Check Explanation of Q.No.88]
Endodontics,3. BIOMECHANICS,42,The most common error seen during access cavity preparation of maxillary and mandibular incisors is:,Perforation of the lingual or labial walls,Gouging of pulpal contents,Tooth fracture,All of the above,a,"[Grossman 12th ed 182, 203]"
Endodontics,3. BIOMECHANICS,43,RC-prep is a combination of?,EDTA with carbamide peroxide,EDTA with hydrogen peroxide,EDTA with sodium hypochlorite,EDTA with urea peroxide and glycol based Glyde,d,[Grossman 12th ed 268]
Endodontics,3. BIOMECHANICS,44,Resistance form of endodontics is:,Resists movement of gutta-percha in apical area,To allow use of spreader in lateral condensation,Fracture of root while vertical condensation,None of the above,a,"[Ingle 5th ed 432]
The principles of root canal preparation are:
i) Outline form
ii) Convenience form
iii) Toilet of the cavity
iv) Retention form
v) Resistance form
vi) Extension for prevention
i) Outline form:
â¢ Must be correctly shaped to establish complete access for instrumentation from cavity margin to apex.
â¢ At the coronal margin of the cavity, the outline form must be continually evaluated by monitoring the tension of the endodontic instruments against the margin of the cavity.
ii) Convenience form:
â¢ The access should be expanded so that the instruments do not bind, especially when larger and less flexible instruments are used.
iii) Toilet of cavity:
â¢ Success depends to a great extent on whether unreachable debris laden with viable bacteria with a source of substrate (accessory canal or microleakage) to survive. Hence the importance of thorough douching through irrigation, toilet of the cavity.
iv) Retention form:
â¢ It is recommended that the master gutta-percha cone should fit tightly in the apical 2 to 3mm of the canal.
â¢ These nearly parallel walls (retention form) ensure the form seating of this principle point.
â¢ These final 2 to 3mm of cavity are the most crucial for meticulous care in preparation. This is where the sealing against future leakage or percolation into the canal takes place. This is also the region where accessory or lateral canals are most apt to be present.
v) Resistance form:
â¢ Resistance to overfilling is the primary objective of resistance form. This can be achieved by terminating the canal preparation at the dentinocemental junction which is approximately 0.5mm from the outer surface of the root.
â¢ Beyond this point, we are dealing with the tissues of the periodontal ligament space, but not the pulp.
â¢ The tiny remaining portion of the canal (beyond DCJ) is not properly cleaned and may contain bacteria and packed debris. This section of the canal should be cleaned but not shaped with fine instruments such as No.10 or 15 files. This action is known as establishing apical patency.
vi) Extension for prevention:
â¢ The extension of the cavity from the crown to apex is necessary to ensure prevention of future problems.
â¢ Peripheral enlargement of the canal, to remove all of the debris, followed by obturation is the primary preventive method."
Endodontics,3. BIOMECHANICS,45,Peso reamer is used for:,To remove lingual shoulder of anterior teeth,To enlarge root canal orifices,Post space preparation,to remove guttapercha,c,[Grossman 12th ed 232]
Endodontics,3. BIOMECHANICS,46,Lentulospirals are used for:,Locating canal orifice,Pulp extirpation,Enlarging coronal third root canal,Application of root canal sealer,d,"[Cohen 9th ed 244, 245]
Lentulospirals are used for placement of sealer, cement and calcium hydroxide. It must be operated clockwise in the handpiece and started or stopped outside the root canal. If started in the canal, it may cut into the wall of the root canal and break. This instrument effectively drives the paste into the root canal. Endodontic files, paper points, and syringes also are commonly used to place sealer in the root canal system."
Endodontics,3. BIOMECHANICS,47,Following movement of tip is seen in Giromatic hand piece:,Reciprocating 90Â° arc,180Â° arc,Oscillating to and fro moments,Vertical displacement of tip,a,[Grossman 12th ed 230/ Refer Q.No.6]
Endodontics,3. BIOMECHANICS,48,The primary function of access openings is to,Facilitate canal medication,Provide good access for irrigation,Aid in locating canal orifices,Provide straight line access to the apex,d,"[Cohen 9th ed 175, Ingle 6th ed 877]"
Endodontics,3. BIOMECHANICS,49,The Massermann Kit technique for removing solid objects:,is very short procedure,is more successful in posterior teeth than in anterior ones,requires frequent radiographic monitoring,is better than the ultrasonic technique,c,"[Grossman 12th ed 487]
Brasseler endo extractor Kit, Masserman Kit, extractor system and Separated Instrument Retrieval System (S.I.R.) are used in retrieval of broken Instruments from the root canal. Masserman technique uses trephine burs and a specific extraction device. Although effective, this technique may require removal of excessive amount of radicular dentin, leading to root weakening and the risk of perforation. Therefore the instrument should be used with caution."
Endodontics,3. BIOMECHANICS,50,"About gutta-percha all are true, except:",It contains 60-70% gutta-percha and 20% ZnO,Can not be sterilized by heating,With time they become brittle,It has two forms Î± and Î²,a,"[Grossman 12th ed 279]
Guttapercha contain 20% of gutta-percha and 66% of ZnO as main components."
Endodontics,3. BIOMECHANICS,51,H-file is used to,Locate the canal orifice,Flare the root canal,For irrigation of root canal,All of the above,b,"[Grossman 12th ed 230]
H-file or Hedstroem file is used to finish the instrumentation of the coronal third of the root canal in step back technique.
The popular use of the headstrom file is: (AIPG-2013)
a) To flare the orifices of canal
b) To establish a circular canal in the apical third
c) To prepare the canal for a post restoration
d) for rotary cutting of the canal wall
Ans: a"
Endodontics,3. BIOMECHANICS,52,Gutta Percha can effectively be sterilized by?,Hot salt sterilizer,Chemical solutions,Autoclaving,Dry heat,b,"[Grossman 12th ed 281]
Guttapercha cones may be kept sterile in Screw-capped vials containing alcohol. A Guttapercha cone freshly removed from the manufacturer's box should be immersed in 5.2% sodium hypochlorite for 1 min., (PGI June-12) then rinse the cone with hydrogen peroxide and dry it between 2 layers of sterile gauze."
Endodontics,3. BIOMECHANICS,53,Instrument No. 40 represents,Diameter at D1,Diameter at D2,Diameter at D1+D2,Diameter at D2-D1,a,[Refer synopsis/ Grossman 12th ed 226]
Endodontics,3. BIOMECHANICS,54,The last solution used in root canal treatment to avoid painful surgical emphysema before dressing is,Normal saline,EDTA,Hydrogen peroxide,Sodium hypochlorite,d,"[Grossman 11th ed 189]
Alternate irrigations with sodium hypochlorite and hydrogen peroxide have been advocated in root canal preparation. The advantages of alternating solutions of 3% hydrogen peroxide and 5.2% sodium hypochlorite are-
â¢ The effervescent reaction, in which it mechanically ""bubbles"" and pushes debris out of the root canal.
â¢ The solvent action of the sodium hypochlorite on the organic debris of the pulp tissue.
â¢ The disinfecting and bleaching action by both solutions.
Finally, sodium chlorite should be used before dressing because hydrogen peroxide can react with pulp debris and blood to form gas (surgical emphysema) that will cause continuous tooth pain."
Endodontics,3. BIOMECHANICS,55,Location of root canals is best done by endodontic,Probe,Explorer,Ultrasonic system,File,b,"[Cohen 9th ed 174, Grossman 12th ed 240]
Endodontic explorers followed by No. 10 to 20 K-files are most commonly used diagnostic and exploring instruments for identification of canal orifices."
Endodontics,3. BIOMECHANICS,56,A 15% solution of EDTA has a pH of:,5.5,7.3,7.9,7,b,[Grossman 11th ed 225]
Endodontics,3. BIOMECHANICS,57,"According to ISO standardization, root canal files and reamers should have a taper of:",0.02 mm per cm,0.02 mm per mm,0.03 mm per cm,0.03 mm per mm,b,"[Grossman 12th ed 226]
Refer synopsis"
Endodontics,3. BIOMECHANICS,58,Cross section of K-flex file is: (OR) K-flex file is traditionally made form,Rhomboidal,Circular,Spiral,Double helix,a,"[Grossman 12th ed 230]
Refer Q.No.12"
Endodontics,3. BIOMECHANICS,59,All of the following are true regarding removal of dentin smear layer during root canal preparation except:,Removal of dentin smear layer is done by using 37% EDTA,Dentin smear layer contains debris and microoroganism,Removal of dentin smear layer removes microorganism,Removal of dentin smear layer is enhanced by EDTA,a,"[Grossman 12th ed 268]
Removal of smear layer is done by 15% of solution of EDTA"
Endodontics,3. BIOMECHANICS,60,Recently used irrigation solution is:,MTAB,MTAC,MTAD,MTAE,c,"[Cohen 9th ed 244, 246, Grossman 12th ed 270]
MTAD is a recently introduced irrigation solution. It is a Mixture of Tetracycline (Doxycycline), an Acid (citric acid) and a Detergent. Invitro experiments indicate that MTAD has potential for removal of smear layer and highly effective in killing E. fecalis."
Endodontics,3. BIOMECHANICS,61,Best method to sterilize absorbent points is:,Autoclaving,Chemical sterilizer,Glass bead/salt sterilizer,Passing in ethanol flame,c,"[Grossman 11th ed 138]
Absorbent points, broaches, files and other root canal instruments are sterilized immediately before use in a hot-salt sterilizer."
Endodontics,3. BIOMECHANICS,62,All of the following are true about H-files EXCEPT,They have good cutting efficiency,They are fragile and tend to break easily,They are used in torquing action,They have more positive rake angle,c,"[Grossman 12th ed 230]
H-files cut the dentin in outward pull stroke. They should never be used in torquing action."
Endodontics,3. BIOMECHANICS,63,The maximum head diameter of ISO Gatesglidden drill #1 is equivalent to:,No 50 file at D0,No 40 file at D0,No 60 file at D0,No 80 file at D0,a,"[Cohen 10th ed 292]
According to Cohen, the first cross-sectional diameter at the first rake angle of any file is labeled D0. The point 1mm coronal to D0 is D1. Thus a size #50 instrument has a diameter of 0.5mm at D0 and a corresponding diameter of 0.82mm at D16 [0.5mm + (16 x 0.02mm)].
Gates Glidden (GG) instruments are manufactured in a set and numbered from 1 to 6, with corresponding diameters of 0.5 to 1.5mm. That means #1 GG instrument will have a maximum diameter of 0.5mm (which is equal to D0 of #50 file) and #6 instruments will have a maximum diameter of 1.5mm.
A Gates Glidden No.1 corresponds to a tip size of (KERALA-2016)
a) 0.4 mm
b) 0.5 mm
c) 0.6 mm
d) 0.7 mm
Ans: b"
Endodontics,3. BIOMECHANICS,64,In young permanent teeth the best method of sensitivity testing for traumatized teeth is Carbondioxide snow which can go up to temperature of,-20Â°C,-30Â°C,-40Â°C,-78Â°C,d,[Grassman 12th ed 70]
Endodontics,3. BIOMECHANICS,65,J.S. Quickfill is,The original engine driven Mcspadden's compactor with guttapercha already coated,Like thermafill another obturator,No different than original Mcspadden's compacter,Chemically softened gutta-percha,a,"[Ingle 5th ed 628]
The various techniques of heat compaction of Guttapercha are:
â¢ Vertical compaction of guttapercha that has been heat softened in the canal.
â¢ Injectable guttapercha techniques
â¢ Thermo-mechanical compaction
â¢ Core carrier techniques
| Technique | Examples |
|---|---|
| Injectable (high heat technique) | â¢ Obtura II<br>â¢ Inject R-fill |
| Core carrier | â¢ Thermafill<br>â¢ Densfill |
| Thermomechanical (with rotary instruments) | â¢ MC Spadden compactor<br>â¢ JS Quickfill<br>â¢ Multiphase II Pac Mac compactors |
Using McSpadden compactor, guttapercha was softened with rotary action of the instrument in the canal and is moved apically and laterally within the prepared system. In JS Quickfill, the compactors are precoated with guttapercha; other features same as Mc Spadden compactor. Multiphase II Pac Mac compactors utilize injectable system of coating compactors."
Endodontics,3. BIOMECHANICS,66,Two pulp canals are usually found in,Mesial root of permanent mandibular first molar,Distal root of permanent mandibular first molar,Palatal root of permanent maxillary first molar,Distal root of permanent mandibular second molar,a,[Grossman 12th ed 210]
Endodontics,3. BIOMECHANICS,67,The superelastic property of the NiTi wire is due to,Stress induced phase transition from the austenitic to the martensitic phase,Temperature induced phase transition from the martensitic to the austenitic phase,Stress induced phase transition from the martensitic to the austenitic phase,Temperature induced phase transition from the austenitic to the martensitic phase,a,"[Phillips 1st SA ed 435/ Proffit 5th ed 363]
Austenitic NiTi is the high temperature, low stress form while martensitic NiTi is the low temperature high stress form. Transformation between austentic and martensitic forms of NiTi can be induced by both temperature and stress. The uniqueness of NiTi is that transition between the two structures is fully reversible and occurs at a remarkably low temperature. This phase transition allows NiTi to exhibit two properties found in no other dental materials-shape memory and super elasticity.
Shape Memory (Thermal reaction) refers to the ability of the material to remember its original shape after being plastically deformed while still in the martensitic font. This is temperature induced change.
Cooling causes plastic deformation -> Austenitic -> Martensitic -> After Heating changed to original shape
Super elasticity (mechanical reaction) refers to the very large reversible strains that NiTi wire can withstand due to the martensitic-austenite phase transition. Materials displaying super elasticity are austenite alloys that undergo transition to martensite in response to stress. It is a mechanical (stress) analogue to the thermally induced shape memory effect.
Austenite -> Stress -> Super elasticity -> Martensite"
Endodontics,3. BIOMECHANICS,68,Which file is used along with irrigation for ultrasonic system?,8,10,15,20,c,"[Cohen 10th ed 256]
After the root canal is shaped, a small file (size 15) is introduced as far apically as possible in the root canal filled with irrigant and ultrasonically activated. This No.15 size file or wire moves freely and the irrigant can penetrate more easily into the apical part of the canal. Files of sizes 20, 25 may produce less accoustic streaming. Their use is restricted to very wide canals."
Endodontics,3. BIOMECHANICS,69,In Endodontics Endotec is used,with lateral condensation and heated gutta percha,with cold lateral compaction,with vertical compaction,with Chloro Percha Technique,a,"[Ingle 6th ed 1062]
Cold or lateral compaction is easy and quick to perform while superior density is gained through vertical compaction of warm guttapercha. Martin developed a device that appears to achieve the best qualities of both techniques called Endotec II. He claims that Endotec combines the best of the two most popular obturation techniques, warm/ vertical and the relatively simplicity of lateral compaction. It contains battery powered, heat controlled spreader/plugger that ensures complete thermo-softening of any type of guttapercha.
Endotec II is? (PGI June-12)
a) Obturation system
b) Irrigating device
c) Biomechanical preparation
d) Antibiotic
Ans: a"
Endodontics,3. BIOMECHANICS,70,Step down technique is,Preparation from apical to middle third,Preparation from apical to coronal third,Preparation from coronal to middle third,Preparation from coronal to apical third,d,"[Ingle 5th ed 470, Grossman 12th ed 258]
Step-back: Beginning the preparation at the apex and working back up the canal coronally with larger and larger instruments.
Step-down: Often called ""Crown-down"" approach, begins coronally and the preparation is advanced apically, using smaller and smaller instruments, finally terminating at the apical stop."
Endodontics,3. BIOMECHANICS,71,Hedstroem file is an instrument used for-,Canal enlargement,Length determination,Obturating with gutta percha in McSpadden technique,Endodontic implants,a,"[Ingle 5th ed 483, Grossman 12th ed 230]"
