"Subject","Chapter","Question No","Question","Option A","Option B","Option C","Option D","Correct Answer","Explanation","Image Reference"
"Complete Denture","Jaw Relations","51","Bennett angle is formed between sagittal plane and the average path of the advancing condyle as viewed in horizontal plane during","Medial movement","Lateral movement","Centric freedom","Inter-cuspal movement","B","'B' [Winkler 2nd ed 159]

Bennett angle is formed by the sagittal plane and the path of the advancing condyle during lateral mandibular movements as viewed in the horizontal plane.",""
"Complete Denture","Jaw Relations","52","While recording condylar guidance using three pin articulator, the incisal pin is kept?","Out of contact","In contact with incisal table","Removed from articulator","Not significant","A","'A' [Schillinberg 3rd ed 67]

While setting condylar guidance, the incisal guide pin should be raised out of contact with the incisal table.",""
"Complete Denture","Jaw Relations","53","The record of the position of the patients maxillary ridge in relation to the condyles is the","Jaw relation","Articulator","Face bow record","Centric jaw relation","C","'C' [Nallaswamy 1st ed 123 / Winkler 2nd ed 184]

• Any relation of the mandible to maxilla is jaw relation. It is of 3 types, orientation, vertical, horizontal.
• Face bow is a caliper like device used to orient maxillary cast on the articulator so that it has the same relationship to the opening axis of the jaws.
• Articulator is a mechanical device to which maxillary and mandibular casts can be attached to simulate the jaw movements.
• Centric relation denotes the relationship of mandible to maxilla when the mandible is at its posterior most position.

Articulators work by (APPG-2016)
a) Simulating the jaw movements
b) Have condylar movement
c) Reproduce the bennet movements
d) Duplicating jaw movements",""
"Complete Denture","Jaw Relations","54","Progressive lateral translation of the TMJ which occurs at a rate proportional to the forward movement of","Non-working condyle","Working condyle","Both non-working and working condyle","None of the above","A","'A' [Nallaswamy 1st ed 116]

Check Explanation of Q. No 35.",""
"Complete Denture","Jaw Relations","55","Before an accurate face bow transfer record can be made, it is necessary to determine","The axial centre of opening closing rotation","The inclination of each condyle","The physiologic rest position","Centric relation","A","'A' [Nallaswamy 1st ed 126]

Check Explanation of Q. No 6.",""
"Complete Denture","Jaw Relations","56","Which of the following shapes of the palatal vault is most favourable for lateral stability?","V shape","U shape","Flat","(B) & (C)","B","'B' [Rangarajan 1st ed 17]

'U' Shaped palatal vault is the most favourable as it offers good vertical and horizontal stability. 'V' Shaped palate form is considered less favourable as even slightest movement of the denture causes loss of retention.",""
"Complete Denture","Jaw Relations","57","Extra oral tracing method is grouped in the following for recording centric relation for complete denture patients","Functional method","Close mouth method","Static method","None of the above","C","'C' [Boucher 10th ed 290]

Method of recording centric relation (CR)
1. Static
   a) Intra oral
   b) Extra oral
2. Functional
   a) Intra oral
   b) Extra oral

STATIC METHODS:
• Involves placing the mandible in CR with the maxilla and then making a record of the relationship of the two occlusal rims to each other.
• The advantage of this method is that it causes minimal displacement of the bases in relation to the supporting bone.
• Method: Made with wax or plaster - With or without central bearing point - With or without extra-oral or intraoral tracing devices

FUNCTIONAL METHODS:
• Involves functional movement of the mandible when the record is made.
• The disadvantage is it causes displacement of record bases in relation to the supporting bones.
• Method: Includes chew-in techniques suggested by Needles house, Paterson

So extra oral (Gothic arch) and intra-oral arrow point graphic tracing comes under static method.",""
"Complete Denture","Jaw Relations","58","A patient with neuromuscular in-coordination reports to your clinic. Best way to do occlusal discrepancy correction is","No need to correct occlusal discrepancy for neuromuscular patients","Direct method on patient's mouth as taking jaw relation is difficult","Take interocclusal records and do occlusal correction in the articulator","Take interocclusal records using corborundum paste","C","'C' [Zarb Bolender 12th ed 404-14]

The amount of occlusal error and the location of deflective contacts will be determined after the dentures have been remounted on the articulator. They are usually minute and their accurate localization requires remounting.
If articulating paper is used in the mouth to locate deflective occlusal contacts, shifting of the denture bases, tissue distortions or eccentric closures by the patients, as well as the presence of saliva, can prevent the articulating paper marks from accurately recording errors.
Irrespective of anatomical or non anatomical teeth, in monoplane or in lingualized occlusion, occlusion errors are ideally detected and corrected when the dentures are accurately mounted in the articulator.",""
"Complete Denture","Jaw Relations","59","Which of the following measures the vertical dimension when the mandible and muscles involved are in physiologic function of speech?","Free way space","Leeway space","Closest speaking space","Primate space","C","'C' [Check Synopsis Point 64]

'C' [Check Synopsis Point 64]",""
"Complete Denture","Jaw Relations","60","Adequate interocclusal rest space required for the comfort of the patient and health of the tissue is","1-8 mm","4-6 mm","5-8 mm","2-4 mm","D","'D' [Check Explanation of Q. No. 2]

'D' [Check Explanation of Q. No. 2]",""
"Complete Denture","Jaw Relations","61","Least interference is encountered in which position?","Centric relation","Centric occlusion","Maximum protruded position","None","A","'A' [J. Prosthetic dent July 1976; 36(1):35-43]

Interferences are undesirable occlusal contacts that may produce mandibular deviation during closure to and from the maximum intercuspation.
There are four types of occlusal interferences:
• Centric occlusal (Maximum intercuspation)
• Working
• Nonworking
• Protrusive
Centric occlusal interferences may produce clenching and or bruxism with their associated symptoms of muscle pain and fatigue. The most destructive are nonworking interferences.",""
"Complete Denture","Jaw Relations","62","In a patient with hemimandibulectomy, VDO is best recorded by?","Previous photographs","Lip musculature with minimum strain","Closest speaking space","Facial Silhouette","B","'B' [Check Explanation Below]

By assessing lip competence, facial appearance and closest speaking space, lip closure with unstrained facial appearance may be the best determinant of the optimal vertical dimension of occlusion.
Closest speaking space is a difficult to interpret parameter and not applicable in hemimandibulectomy case.",""
"Complete Denture","Jaw Relations","63","Minimum protrusion required for condylar guidance adjustment is?","3 mm","4 mm","6 mm","8 mm","C","'C' [Boucher's 12th ed 337, 338]

The ideal amount of protrusion for making the record is the exact equivalent of the amount of protrusion necessary to bring the anterior teeth end-to-end. However, with the mechanical limitations of most articulators, a protrusive movement of at least 6mm is required so that the condylar mechanisms can be adjusted.",""
"Complete Denture","Jaw Relations","64","The following method of recording centric jaw relation has the advantage reproducibility and cross verification","Tactile method","Nick and notch method","Needle house","Gothic arch tracing","B","'B' [J. Indian Prosth society 2012; 12(3): 175-181]

Nick and notch is a physiological inter occlusal check record method in which Nick and notch are cut on the maxillary occlusal rim and a trough on the mandibular rim. Interocclusal record material is placed on the troughs created on mandibular occlusal rim. Patient is asked to close in centric relation, after the material is set, occlusal rims are removed and articulated. This conventional method is more acceptable for both the operator and patient.",""
"Complete Denture","Teeth Setting and Articulators","1","Articulators are classified into arbitrary positional and functional by","Beak","Posell","Boucher","Thomas","D","'D' [Heartwell 3rd ed 61]

'D' [Heartwell 3rd ed 61]",""
"Complete Denture","Teeth Setting and Articulators","2","An evaluation of which of the following represents the most important aspect in selection of shade for the restoration to match with existing dentition?","Hue","Value","Chroma","Size","B","'B' [Boucher's 10th ed 338]

Refer to teeth selection in synopsis.",""
"Complete Denture","Teeth Setting and Articulators","3","Width of the central incisor as compared to the bizygomatic width is","1:13","1:14","1:15","1:16","D","'D' [Boucher's 10th ed 333]

a) Bizygomatic width/16 gives mesiodistal width of upper central incisor.
b) Bizygomatic width/3.3 gives mesiodistal width of upper anterior teeth.
c) Cranial circumference/10 gives mesiodistal width of upper anterior teeth.
d) Distance between hair line and chin/16 gives length of central incisor.

Which is a true statement (AIPG-2017)
a) Width maxillary four incisors is equal to 1/8 of bizygomatic width
b) Width of maxillary incisor is equal to 1/16 of bizygomatic width
c) Intercanine width is equal to nasal width
d) Width of mandibular central incisor is equal to 1/16 of bizygomatic width",""
"Complete Denture","Teeth Setting and Articulators","4","Articulators","Duplicate jaw movements","Simulate jaw movements","Have condylar movements","Reproduce the bennet movement","B","'B' [Boucher's 12th ed 291]

'B' [Boucher's 12th ed 291]",""
"Complete Denture","Teeth Setting and Articulators","5","Metamerism is","Operator unable to record the colour","Patient has teeth with different shades","Various light sources produce different colour perception","All the above","C","'C' [Phillips 11th ed 52]

'C' [Phillips 11th ed 52]",""
"Complete Denture","Teeth Setting and Articulators","6","Lateral condylar guidance is","L=12+d/H","L=H+d/12","L=H/8+12","L=H+d/4","C","'C' [Boucher's 10th ed 495 / Winkler 2nd ed 146]

The Bennett angle (L) can be calculated from the horizontal condylar inclination (H) by means of Hanau equation. If the horizontal condylar inclination is 30° then the Bennett angle would be approximately 16°.",""
"Complete Denture","Teeth Setting and Articulators","7","Arcon articulator is:","Hanau model H2","Dentatus articulator","Gysi trubite articulator","None of the above","D","'D' [Winkler 2nd ed 147]

The term 'Arcon' indicates an instrument that has its condyles on the lower member and the condylar guides on the upper member.
Bergstrom derived the name Arcon from articulator and Condyle.
Examples of Arcon type articulators are TMJ instrument, Whipmix articulator, Denar class IV instrument, Teledyne arcon and Ney articulator.
Examples of non-arcon type articulators are Hanau articulator, Gysi trubyte and dentatus articulator.",""
"Complete Denture","Teeth Setting and Articulators","8","One of the criteria of an ideal occlusion in natural dentition is:","Maximum contacts of the tips of the cusps only","Disocclusion of anterior teeth during mandibular protrusion","Disocclusion of posterior teeth on the non working side in lateral excursion","Occlusion of posterior teeth during mandibular protrusion","C","'C' [Boucher's 10th ed 438]

Refer synopsis.",""
"Complete Denture","Teeth Setting and Articulators","9","The distance between the teeth and the axis of rotation is shorter than the skull with the resultant loss of accuracy the instrument which produces such type of replication is:","Semi adjustable articulator","Hinge articulator","Fully adjustable articulator","Face bow articulator","B","'B' [Boucher's 10th ed 313]

Options A, C, D allow face bow transfer; whereas hinge articulator does not accept face bow transfer and accuracy will be less.",""
